segment_id,road_name,road_type,length_m,pass_count,event_count,pothole_count,speed_breaker_count,broken_patch_count,roughness_count,mean_severity,max_severity,confidence,condition_score,condition_class
SEG_026,NH_CORRIDOR_A,HIGHWAY,85.7,60,37,0,37,0,0,2.46,5,0.99,74.1,MODERATE
SEG_027,NH_CORRIDOR_A,HIGHWAY,148.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_028,NH_CORRIDOR_A,HIGHWAY,159.2,60,45,0,45,0,0,2.84,5,0.99,70.9,MODERATE
SEG_029,NH_CORRIDOR_A,HIGHWAY,139.0,60,46,0,46,0,0,3.22,5,0.99,69.2,MODERATE
SEG_030,NH_CORRIDOR_A,HIGHWAY,95.9,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_031,NH_CORRIDOR_A,HIGHWAY,129.8,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_032,NH_CORRIDOR_A,HIGHWAY,157.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_033,NH_CORRIDOR_A,HIGHWAY,137.6,60,46,0,46,0,0,2.87,5,0.99,70.6,MODERATE
SEG_034,NH_CORRIDOR_A,HIGHWAY,113.9,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_035,NH_CORRIDOR_A,HIGHWAY,126.5,60,52,0,52,0,0,2.9,5,0.99,69.1,MODERATE
SEG_036,NH_CORRIDOR_A,HIGHWAY,123.8,60,50,50,0,0,0,3.26,5,0.99,68.1,MODERATE
SEG_037,NH_CORRIDOR_A,HIGHWAY,107.2,60,50,50,0,0,0,3.14,5,0.99,68.6,MODERATE
SEG_038,NH_CORRIDOR_A,HIGHWAY,112.9,60,38,38,0,0,0,2.45,5,0.99,74.0,MODERATE
SEG_039,NH_CORRIDOR_A,HIGHWAY,137.9,60,48,48,0,0,0,2.73,5,0.99,70.7,MODERATE
SEG_040,NH_CORRIDOR_A,HIGHWAY,148.1,60,45,45,0,0,0,3.04,5,0.99,70.1,MODERATE
SEG_041,NH_CORRIDOR_A,HIGHWAY,162.3,60,41,41,0,0,0,2.93,5,0.99,71.4,MODERATE
SEG_042,NH_CORRIDOR_A,HIGHWAY,87.2,60,45,45,0,0,0,3.27,5,0.99,69.2,MODERATE
SEG_043,NH_CORRIDOR_A,HIGHWAY,153.6,60,48,48,0,0,0,2.98,5,0.99,69.7,MODERATE
SEG_044,NH_CORRIDOR_A,HIGHWAY,100.3,60,42,42,0,0,0,2.86,5,0.99,71.5,MODERATE
SEG_045,NH_CORRIDOR_A,HIGHWAY,99.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_046,URBAN_CONNECTOR_B,URBAN,127.4,60,46,46,0,0,0,2.63,5,0.99,71.5,MODERATE
SEG_047,URBAN_CONNECTOR_B,URBAN,113.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_048,URBAN_CONNECTOR_B,URBAN,119.4,60,56,11,0,0,45,3.2,5,0.99,67.1,MODERATE
SEG_049,URBAN_CONNECTOR_B,URBAN,96.2,60,58,19,0,0,39,3.14,5,0.99,66.9,MODERATE
SEG_050,URBAN_CONNECTOR_B,URBAN,171.3,60,62,18,0,0,44,3.19,5,0.99,65.8,MODERATE
SEG_051,URBAN_CONNECTOR_B,URBAN,110.3,60,44,44,0,0,0,2.86,5,0.99,71.0,MODERATE
SEG_052,URBAN_CONNECTOR_B,URBAN,159.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_053,URBAN_CONNECTOR_B,URBAN,127.7,60,63,15,0,0,48,3.0,5,0.99,66.3,MODERATE
SEG_054,URBAN_CONNECTOR_B,URBAN,94.2,60,58,22,0,0,36,3.0,5,0.99,67.4,MODERATE
SEG_055,URBAN_CONNECTOR_B,URBAN,128.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_056,URBAN_CONNECTOR_B,URBAN,114.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_057,URBAN_CONNECTOR_B,URBAN,101.8,60,46,46,0,0,0,2.61,5,0.99,71.6,MODERATE
SEG_058,URBAN_CONNECTOR_B,URBAN,157.1,60,61,18,0,0,43,2.89,5,0.99,67.2,MODERATE
SEG_059,URBAN_CONNECTOR_B,URBAN,126.0,60,44,0,0,0,44,2.93,5,0.99,70.7,MODERATE
SEG_060,URBAN_CONNECTOR_B,URBAN,140.5,60,60,20,0,0,40,3.08,5,0.99,66.7,MODERATE
SEG_061,URBAN_CONNECTOR_B,URBAN,93.0,60,45,45,0,0,0,3.09,5,0.99,69.9,MODERATE
SEG_062,URBAN_CONNECTOR_B,URBAN,89.0,60,43,43,0,0,0,3.09,5,0.99,70.3,MODERATE
SEG_063,URBAN_CONNECTOR_B,URBAN,116.3,60,61,16,0,0,45,2.8,5,0.99,67.6,MODERATE
SEG_064,URBAN_CONNECTOR_B,URBAN,94.8,60,43,43,0,0,0,3.0,5,0.99,70.7,MODERATE
SEG_065,URBAN_CONNECTOR_B,URBAN,101.2,60,78,29,0,49,0,3.09,5,0.99,62.7,MODERATE
SEG_066,URBAN_CONNECTOR_B,URBAN,140.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_067,URBAN_CONNECTOR_B,URBAN,141.1,60,44,44,0,0,0,2.73,5,0.99,71.6,MODERATE
SEG_068,URBAN_CONNECTOR_B,URBAN,176.1,60,42,42,0,0,0,3.36,5,0.99,69.5,MODERATE
SEG_069,URBAN_CONNECTOR_B,URBAN,159.4,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_070,URBAN_CONNECTOR_B,URBAN,131.2,60,45,45,0,0,0,2.98,5,0.99,70.3,MODERATE
SEG_071,URBAN_CONNECTOR_B,URBAN,174.1,60,46,0,0,46,0,3.13,5,0.99,69.5,MODERATE
SEG_072,URBAN_CONNECTOR_B,URBAN,130.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_073,URBAN_CONNECTOR_B,URBAN,116.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_074,URBAN_CONNECTOR_B,URBAN,126.7,60,46,0,0,46,0,2.7,5,0.99,71.3,MODERATE
SEG_075,URBAN_CONNECTOR_B,URBAN,163.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_076,URBAN_CONNECTOR_B,URBAN,98.3,60,46,0,0,46,0,2.91,5,0.99,70.4,MODERATE
SEG_077,URBAN_CONNECTOR_B,URBAN,95.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_078,URBAN_CONNECTOR_B,URBAN,111.7,60,45,0,0,45,0,3.24,5,0.99,69.3,MODERATE
SEG_079,URBAN_CONNECTOR_B,URBAN,154.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_080,URBAN_CONNECTOR_B,URBAN,95.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_081,URBAN_CONNECTOR_B,URBAN,106.9,60,46,0,0,46,0,3.17,5,0.99,69.3,MODERATE
SEG_082,URBAN_CONNECTOR_B,URBAN,137.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_083,URBAN_CONNECTOR_B,URBAN,163.8,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_084,URBAN_CONNECTOR_B,URBAN,115.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_085,URBAN_CONNECTOR_B,URBAN,112.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_086,URBAN_CONNECTOR_B,URBAN,109.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_087,URBAN_CONNECTOR_B,URBAN,100.6,60,37,0,37,0,0,2.81,5,0.99,72.7,MODERATE
SEG_088,URBAN_CONNECTOR_B,URBAN,126.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_089,URBAN_CONNECTOR_B,URBAN,169.7,60,43,0,43,0,0,3.12,5,0.99,70.2,MODERATE
SEG_090,URBAN_CONNECTOR_B,URBAN,169.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_091,RESIDENTIAL_LINK_C,RESIDENTIAL,134.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_092,RESIDENTIAL_LINK_C,RESIDENTIAL,158.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_093,RESIDENTIAL_LINK_C,RESIDENTIAL,120.5,60,41,0,41,0,0,2.9,5,0.99,71.5,MODERATE
SEG_094,RESIDENTIAL_LINK_C,RESIDENTIAL,155.9,60,45,0,45,0,0,3.33,5,0.99,68.9,MODERATE
SEG_095,RESIDENTIAL_LINK_C,RESIDENTIAL,174.0,60,46,0,46,0,0,2.8,5,0.99,70.8,MODERATE
SEG_096,RESIDENTIAL_LINK_C,RESIDENTIAL,96.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_097,RESIDENTIAL_LINK_C,RESIDENTIAL,99.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_098,RESIDENTIAL_LINK_C,RESIDENTIAL,141.9,60,44,0,44,0,0,3.07,5,0.99,70.2,MODERATE
SEG_099,RESIDENTIAL_LINK_C,RESIDENTIAL,114.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_100,RESIDENTIAL_LINK_C,RESIDENTIAL,177.3,60,41,0,41,0,0,2.71,5,0.99,72.3,MODERATE
SEG_101,RESIDENTIAL_LINK_C,RESIDENTIAL,98.7,60,65,0,11,0,54,3.09,5,0.99,65.5,MODERATE
SEG_102,RESIDENTIAL_LINK_C,RESIDENTIAL,106.8,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_103,RESIDENTIAL_LINK_C,RESIDENTIAL,149.4,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_104,RESIDENTIAL_LINK_C,RESIDENTIAL,133.1,60,43,0,43,0,0,2.88,5,0.99,71.1,MODERATE
SEG_105,RESIDENTIAL_LINK_C,RESIDENTIAL,140.2,60,42,0,42,0,0,2.83,5,0.99,71.6,MODERATE
SEG_106,RESIDENTIAL_LINK_C,RESIDENTIAL,161.4,60,39,0,0,0,39,3.36,5,0.99,70.1,MODERATE
SEG_107,RESIDENTIAL_LINK_C,RESIDENTIAL,155.2,60,66,21,0,0,45,3.2,5,0.99,64.9,MODERATE
SEG_108,RESIDENTIAL_LINK_C,RESIDENTIAL,96.8,60,45,45,0,0,0,3.16,5,0.99,69.6,MODERATE
SEG_109,RESIDENTIAL_LINK_C,RESIDENTIAL,122.8,60,62,19,0,0,43,3.27,5,0.99,65.5,MODERATE
SEG_110,RESIDENTIAL_LINK_C,RESIDENTIAL,131.4,60,47,47,0,0,0,3.17,5,0.99,69.1,MODERATE
SEG_111,RESIDENTIAL_LINK_C,RESIDENTIAL,175.8,60,47,47,0,0,0,2.74,5,0.99,70.8,MODERATE
SEG_112,RESIDENTIAL_LINK_C,RESIDENTIAL,87.4,60,57,17,0,0,40,3.05,5,0.99,67.4,MODERATE
SEG_113,RESIDENTIAL_LINK_C,RESIDENTIAL,145.2,60,46,46,0,0,0,3.33,5,0.99,68.7,MODERATE
SEG_114,RESIDENTIAL_LINK_C,RESIDENTIAL,98.3,60,59,18,0,0,41,2.61,5,0.99,68.8,MODERATE
SEG_115,RESIDENTIAL_LINK_C,RESIDENTIAL,176.8,60,60,12,0,0,48,3.22,5,0.99,66.1,MODERATE
SEG_116,RESIDENTIAL_LINK_C,RESIDENTIAL,173.6,60,60,9,0,0,51,2.73,5,0.99,68.1,MODERATE
SEG_117,RESIDENTIAL_LINK_C,RESIDENTIAL,129.4,60,48,48,0,0,0,3.46,5,0.99,67.8,MODERATE
SEG_118,RESIDENTIAL_LINK_C,RESIDENTIAL,86.7,60,42,42,0,0,0,3.29,5,0.99,69.8,MODERATE
SEG_119,RESIDENTIAL_LINK_C,RESIDENTIAL,163.8,60,59,13,0,0,46,3.12,5,0.99,66.7,MODERATE
SEG_120,RESIDENTIAL_LINK_C,RESIDENTIAL,107.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_121,RESIDENTIAL_LINK_C,RESIDENTIAL,142.6,60,66,0,0,22,44,3.23,5,0.99,64.8,MODERATE
SEG_122,RESIDENTIAL_LINK_C,RESIDENTIAL,120.5,60,77,34,0,43,0,3.1,5,0.99,62.9,MODERATE
SEG_123,RESIDENTIAL_LINK_C,RESIDENTIAL,146.9,60,81,18,0,23,40,3.01,5,0.99,62.4,MODERATE
SEG_124,RESIDENTIAL_LINK_C,RESIDENTIAL,128.1,60,52,0,0,0,52,3.06,5,0.99,68.5,MODERATE
SEG_125,RESIDENTIAL_LINK_C,RESIDENTIAL,107.5,60,62,19,0,0,43,2.97,5,0.99,66.7,MODERATE
SEG_126,RESIDENTIAL_LINK_C,RESIDENTIAL,162.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_127,RESIDENTIAL_LINK_C,RESIDENTIAL,91.3,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_128,RESIDENTIAL_LINK_C,RESIDENTIAL,98.9,60,45,0,0,45,0,2.82,5,0.99,71.0,MODERATE
SEG_129,RESIDENTIAL_LINK_C,RESIDENTIAL,114.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_130,RESIDENTIAL_LINK_C,RESIDENTIAL,172.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_131,RESIDENTIAL_LINK_C,RESIDENTIAL,112.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_132,RESIDENTIAL_LINK_C,RESIDENTIAL,96.0,60,42,0,0,42,0,2.88,5,0.99,71.4,MODERATE
SEG_133,RESIDENTIAL_LINK_C,RESIDENTIAL,90.3,60,43,0,0,43,0,3.26,5,0.99,69.7,MODERATE
SEG_134,RESIDENTIAL_LINK_C,RESIDENTIAL,90.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_135,RESIDENTIAL_LINK_C,RESIDENTIAL,149.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_136,JUNCTION_LOOP_D,URBAN,115.2,60,40,0,0,40,0,2.9,5,0.99,71.7,MODERATE
SEG_137,JUNCTION_LOOP_D,URBAN,168.1,60,47,0,0,47,0,3.15,5,0.99,69.2,MODERATE
SEG_138,JUNCTION_LOOP_D,URBAN,89.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_139,JUNCTION_LOOP_D,URBAN,108.7,60,45,0,0,45,0,2.91,5,0.99,70.6,MODERATE
SEG_140,JUNCTION_LOOP_D,URBAN,124.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_141,JUNCTION_LOOP_D,URBAN,120.5,60,49,0,0,49,0,3.06,5,0.99,69.1,MODERATE
SEG_142,JUNCTION_LOOP_D,URBAN,94.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_143,JUNCTION_LOOP_D,URBAN,89.9,60,50,0,0,50,0,2.96,5,0.99,69.3,MODERATE
SEG_144,JUNCTION_LOOP_D,URBAN,94.4,60,45,0,0,45,0,3.09,5,0.99,69.9,MODERATE
SEG_145,JUNCTION_LOOP_D,URBAN,170.8,60,48,0,0,48,0,3.31,5,0.99,68.3,MODERATE
SEG_146,JUNCTION_LOOP_D,URBAN,161.2,60,39,0,39,0,0,2.41,5,0.99,73.9,MODERATE
SEG_147,JUNCTION_LOOP_D,URBAN,146.0,60,49,0,49,0,0,3.16,5,0.99,68.7,MODERATE
SEG_148,JUNCTION_LOOP_D,URBAN,97.8,60,42,0,42,0,0,2.9,5,0.99,71.3,MODERATE
SEG_149,JUNCTION_LOOP_D,URBAN,133.9,60,49,0,49,0,0,3.06,5,0.99,69.1,MODERATE
SEG_150,JUNCTION_LOOP_D,URBAN,129.0,60,46,0,46,0,0,3.02,5,0.99,69.9,MODERATE
SEG_151,JUNCTION_LOOP_D,URBAN,145.8,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_152,JUNCTION_LOOP_D,URBAN,98.3,60,45,0,45,0,0,2.87,5,0.99,70.8,MODERATE
SEG_153,JUNCTION_LOOP_D,URBAN,124.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_154,JUNCTION_LOOP_D,URBAN,119.9,60,44,0,44,0,0,3.39,5,0.99,68.9,MODERATE
SEG_155,JUNCTION_LOOP_D,URBAN,116.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_156,JUNCTION_LOOP_D,URBAN,150.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_157,JUNCTION_LOOP_D,URBAN,175.1,60,39,0,39,0,0,3.18,5,0.99,70.8,MODERATE
SEG_158,JUNCTION_LOOP_D,URBAN,130.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_159,JUNCTION_LOOP_D,URBAN,135.9,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_160,JUNCTION_LOOP_D,URBAN,147.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
