event_id,bus_id,pass_id,segment_id,timestamp,candidate_type,suppression_reason,confidence
SUP_00016,BUS_007,PASS_01_007_02,SEG_144,2026-09-18T09:00:04,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00017,BUS_008,PASS_01_008_01,SEG_131,2026-09-18T06:40:12,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00018,BUS_008,PASS_01_008_01,SEG_034,2026-09-18T06:40:05.200000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00019,BUS_008,PASS_01_008_02,SEG_067,2026-09-18T09:10:10.200000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00020,BUS_008,PASS_01_008_02,SEG_067,2026-09-18T09:10:11.800000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00021,BUS_009,PASS_01_009_02,SEG_023,2026-09-18T09:21:09.400000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00022,BUS_009,PASS_01_009_02,SEG_038,2026-09-18T09:21:04.700000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00023,BUS_009,PASS_01_009_02,SEG_146,2026-09-18T09:21:12.800000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00024,BUS_010,PASS_01_010_01,SEG_060,2026-09-18T06:30:04.400000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00025,BUS_010,PASS_01_010_01,SEG_141,2026-09-18T06:30:06.700000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00026,BUS_010,PASS_01_010_02,SEG_108,2026-09-18T09:00:06.900000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00027,BUS_010,PASS_01_010_02,SEG_118,2026-09-18T09:00:09.100000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00028,BUS_001,PASS_02_001_02,SEG_063,2026-09-19T09:00:06.100000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00029,BUS_002,PASS_02_002_01,SEG_011,2026-09-19T06:40:02.500000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00030,BUS_002,PASS_02_002_01,SEG_062,2026-09-19T06:40:03.800000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00031,BUS_003,PASS_02_003_02,SEG_023,2026-09-19T09:21:10.100000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00032,BUS_004,PASS_02_004_01,SEG_024,2026-09-19T06:30:02.200000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00033,BUS_004,PASS_02_004_01,SEG_077,2026-09-19T06:30:05.700000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00034,BUS_004,PASS_02_004_02,SEG_144,2026-09-19T09:00:06.300000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00035,BUS_005,PASS_02_005_01,SEG_030,2026-09-19T06:40:01.600000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00036,BUS_005,PASS_02_005_01,SEG_068,2026-09-19T06:40:07,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00037,BUS_005,PASS_02_005_01,SEG_110,2026-09-19T06:40:04.900000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00038,BUS_005,PASS_02_005_02,SEG_019,2026-09-19T09:10:03.500000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00039,BUS_005,PASS_02_005_02,SEG_096,2026-09-19T09:10:05.400000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00040,BUS_005,PASS_02_005_02,SEG_111,2026-09-19T09:10:10.900000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00041,BUS_006,PASS_02_006_02,SEG_092,2026-09-19T09:21:12.700000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00042,BUS_006,PASS_02_006_02,SEG_069,2026-09-19T09:21:11,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00043,BUS_006,PASS_02_006_02,SEG_054,2026-09-19T09:21:07.500000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00044,BUS_007,PASS_02_007_01,SEG_114,2026-09-19T06:30:06.300000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00045,BUS_007,PASS_02_007_02,SEG_025,2026-09-19T09:00:05.700000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00046,BUS_007,PASS_02_007_02,SEG_124,2026-09-19T09:00:10.700000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00047,BUS_010,PASS_02_010_01,SEG_048,2026-09-19T06:30:05.300000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00048,BUS_010,PASS_02_010_02,SEG_129,2026-09-19T09:00:06.600000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00049,BUS_010,PASS_02_010_02,SEG_108,2026-09-19T09:00:12.100000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00050,BUS_010,PASS_02_010_02,SEG_048,2026-09-19T09:00:12,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00051,BUS_001,PASS_03_001_02,SEG_148,2026-09-20T09:00:05.600000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00052,BUS_001,PASS_03_001_02,SEG_079,2026-09-20T09:00:05.800000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00053,BUS_001,PASS_03_001_02,SEG_073,2026-09-20T09:00:06.600000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00054,BUS_002,PASS_03_002_01,SEG_054,2026-09-20T06:40:05.700000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00055,BUS_002,PASS_03_002_02,SEG_020,2026-09-20T09:10:04.100000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00056,BUS_003,PASS_03_003_01,SEG_020,2026-09-20T06:51:06.500000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00057,BUS_003,PASS_03_003_01,SEG_155,2026-09-20T06:51:07.400000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00058,BUS_003,PASS_03_003_02,SEG_020,2026-09-20T09:21:09.400000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00059,BUS_004,PASS_03_004_01,SEG_023,2026-09-20T06:30:08.500000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00060,BUS_004,PASS_03_004_02,SEG_109,2026-09-20T09:00:11.700000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00061,BUS_005,PASS_03_005_01,SEG_154,2026-09-20T06:40:05.200000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00062,BUS_006,PASS_03_006_01,SEG_155,2026-09-20T06:51:06.700000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00063,BUS_006,PASS_03_006_01,SEG_086,2026-09-20T06:51:05.600000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00064,BUS_006,PASS_03_006_01,SEG_072,2026-09-20T06:51:06,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00065,BUS_006,PASS_03_006_02,SEG_082,2026-09-20T09:21:10.800000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00066,BUS_006,PASS_03_006_02,SEG_107,2026-09-20T09:21:06.700000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00067,BUS_007,PASS_03_007_01,SEG_024,2026-09-20T06:30:06.500000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00068,BUS_007,PASS_03_007_01,SEG_123,2026-09-20T06:30:05.900000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00069,BUS_008,PASS_03_008_01,SEG_135,2026-09-20T06:40:09.300000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00070,BUS_008,PASS_03_008_02,SEG_095,2026-09-20T09:10:07,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00071,BUS_009,PASS_03_009_01,SEG_100,2026-09-20T06:51:09.900000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00072,BUS_009,PASS_03_009_02,SEG_118,2026-09-20T09:21:10.200000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00073,BUS_010,PASS_03_010_02,SEG_032,2026-09-20T09:00:04.200000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00074,BUS_010,PASS_03_010_02,SEG_073,2026-09-20T09:00:05.300000,POTHOLE_LIKE,HARD_BRAKING,0.82
