event_id,pass_id,timestamp,latitude,longitude,event_class,severity_0_5,detector_confidence,peak_vertical_g,speed_kmh,gps_accuracy_m,segment_id
EV-0022,PASS-022,2026-09-23T16:01:48,10.012405878019718,76.2794137434327,speed_breaker,3.2,0.75,2.02,46.9,7.7,RSK-022
EV-0023,PASS-023,2026-09-23T16:27:36,10.014217723954888,76.28002630913636,broken_patch,3.6,0.78,2.17,41.2,8.5,RSK-023
EV-0024,PASS-024,2026-09-23T16:53:24,10.016592704529048,76.28065040231503,road_vibration,4.7,0.69,2.59,39.8,8.3,RSK-024
EV-0025,PASS-025,2026-09-23T16:36:00,9.965762043380899,76.28225356680562,pothole,0.7,0.97,1.07,26.5,5.6,RSK-001
EV-0026,PASS-026,2026-09-23T17:01:48,9.96829283372338,76.2830942920485,speed_breaker,1.4,0.96,1.33,41.3,3.5,RSK-002
EV-0027,PASS-027,2026-09-23T17:27:36,9.97015801406903,76.28365935235566,broken_patch,2.3,0.8,1.67,23.2,5.1,RSK-003
EV-0028,PASS-028,2026-09-23T17:53:24,9.97280654400526,76.28451451199233,road_vibration,2.8,0.78,1.86,41.1,7.2,RSK-004
EV-0029,PASS-029,2026-09-23T18:19:12,9.974716839317308,76.28472036437735,pothole,4.0,0.97,2.32,43.0,9.0,RSK-005
EV-0030,PASS-030,2026-09-23T18:45:00,9.976858368666115,76.28476640481173,speed_breaker,4.6,0.72,2.55,33.5,3.8,RSK-006
EV-0031,PASS-031,2026-09-23T19:10:48,9.97940224364762,76.2851385848316,broken_patch,0.8,0.88,1.1,42.6,4.2,RSK-007
EV-0032,PASS-032,2026-09-23T19:36:36,9.98121959892149,76.28497390504192,road_vibration,1.5,0.68,1.37,35.2,3.9,RSK-008
EV-0033,PASS-001,2026-09-23T07:14:24,9.983799225950614,76.28449532376419,pothole,2.5,0.94,1.75,28.2,7.1,RSK-009
EV-0034,PASS-002,2026-09-23T07:40:12,9.985739232989282,76.28399720378535,speed_breaker,2.8,0.91,1.86,31.8,6.1,RSK-010
EV-0035,PASS-003,2026-09-23T08:06:00,9.98807975905918,76.28368608138658,broken_patch,3.7,0.68,2.21,46.6,4.3,RSK-011
EV-0036,PASS-004,2026-09-23T08:31:48,9.990230294866869,76.2830682258606,road_vibration,4.2,0.85,2.4,31.7,8.0,RSK-012
EV-0037,PASS-005,2026-09-23T08:57:36,9.992358196941936,76.2823293835742,pothole,0.7,0.95,1.07,27.3,2.8,RSK-013
EV-0038,PASS-006,2026-09-23T09:23:24,9.994558028757728,76.28135261514376,speed_breaker,1.8,0.88,1.48,48.3,7.7,RSK-014
EV-0039,PASS-007,2026-09-23T09:49:12,9.996638517564552,76.28060456351942,broken_patch,2.6,0.96,1.79,39.4,7.1,RSK-015
EV-0040,PASS-008,2026-09-23T10:15:00,9.998802312657832,76.2802198237715,road_vibration,3.0,0.88,1.94,31.1,7.4,RSK-016
EV-0041,PASS-009,2026-09-23T10:40:48,10.001217206238833,76.27936972515785,pothole,3.8,0.79,2.24,42.9,3.7,RSK-017
EV-0042,PASS-010,2026-09-23T11:06:36,10.003424552627433,76.27913480525805,speed_breaker,4.7,0.76,2.59,27.9,8.0,RSK-018
EV-0043,PASS-011,2026-09-23T11:32:24,10.00564333078524,76.27892607888703,broken_patch,0.8,0.88,1.1,36.3,8.1,RSK-019
EV-0044,PASS-012,2026-09-23T11:58:12,10.00801991600184,76.27915171727913,road_vibration,1.7,0.76,1.45,40.6,6.8,RSK-020
EV-0045,PASS-013,2026-09-23T12:24:00,10.009786693600038,76.27946294656547,pothole,2.2,0.77,1.64,44.6,3.5,RSK-021
EV-0046,PASS-014,2026-09-23T12:49:48,10.011963106859048,76.27985391819314,speed_breaker,3.1,0.91,1.98,34.8,8.7,RSK-022
EV-0047,PASS-015,2026-09-23T13:15:36,10.014427835449705,76.28024460395838,broken_patch,3.7,0.79,2.21,26.1,7.3,RSK-023
EV-0048,PASS-016,2026-09-23T13:41:24,10.016786329913105,76.28095506197171,road_vibration,4.7,0.91,2.59,28.1,8.1,RSK-024
EV-0049,PASS-017,2026-09-23T13:24:00,9.966087955888204,76.2823190634786,pothole,0.9,0.95,1.14,25.4,3.4,RSK-001
EV-0050,PASS-018,2026-09-23T13:49:48,9.968172321618749,76.28307940455905,speed_breaker,1.6,0.77,1.41,43.1,5.6,RSK-002
EV-0051,PASS-019,2026-09-23T14:15:36,9.970547503253666,76.28392075451157,broken_patch,2.3,0.95,1.67,34.5,3.6,RSK-003
EV-0052,PASS-020,2026-09-23T14:41:24,9.972770747454891,76.28425344873844,road_vibration,3.2,0.93,2.02,29.8,7.9,RSK-004
EV-0053,PASS-021,2026-09-23T15:07:12,9.974782298508536,76.28456004554968,pothole,3.7,0.89,2.21,28.6,4.9,RSK-005
EV-0054,PASS-022,2026-09-23T15:33:00,9.977186513416395,76.28472544275702,speed_breaker,4.3,0.79,2.43,26.3,4.0,RSK-006
EV-0055,PASS-023,2026-09-23T15:58:48,9.979147433947949,76.28491283227905,broken_patch,0.9,0.69,1.14,45.3,5.2,RSK-007
EV-0056,PASS-024,2026-09-23T16:24:36,9.981524897886157,76.28509629696465,road_vibration,1.3,0.94,1.29,38.1,5.8,RSK-008
EV-0057,PASS-025,2026-09-23T16:50:24,9.983811370828716,76.28446980087816,pothole,2.3,0.95,1.67,45.4,6.3,RSK-009
EV-0058,PASS-026,2026-09-23T17:16:12,9.985907317030378,76.2842578363403,speed_breaker,3.3,0.82,2.05,29.6,5.9,RSK-010
EV-0059,PASS-027,2026-09-23T17:42:00,9.987934428601623,76.28359868761525,broken_patch,3.9,0.89,2.28,45.5,8.9,RSK-011
EV-0060,PASS-028,2026-09-23T18:07:48,9.990430360988759,76.28284351238892,road_vibration,4.7,0.85,2.59,40.6,3.1,RSK-012
EV-0061,PASS-029,2026-09-23T18:33:36,9.992354306384831,76.28227069132734,pothole,0.7,0.75,1.07,31.2,5.7,RSK-013
EV-0062,PASS-030,2026-09-23T18:59:24,9.994508750274038,76.28153247496248,speed_breaker,1.5,0.96,1.37,33.8,8.3,RSK-014
EV-0063,PASS-031,2026-09-23T19:25:12,9.996775153418108,76.28076342695014,broken_patch,2.1,0.97,1.6,28.3,3.0,RSK-015
EV-0064,PASS-032,2026-09-23T19:51:00,9.999218642801388,76.27978992942272,road_vibration,2.8,0.75,1.86,45.5,6.8,RSK-016
EV-0065,PASS-001,2026-09-23T07:28:48,10.001059272470943,76.27951058564183,pothole,3.5,0.96,2.13,35.0,4.3,RSK-017
EV-0066,PASS-002,2026-09-23T07:54:36,10.003324447587161,76.27923471401996,speed_breaker,4.7,0.89,2.59,43.8,3.6,RSK-018
EV-0067,PASS-003,2026-09-23T08:20:24,10.0054955194598,76.2790542966384,broken_patch,1.1,0.85,1.22,47.4,5.1,RSK-019
EV-0068,PASS-004,2026-09-23T08:46:12,10.00801073529927,76.2788829014447,road_vibration,1.6,0.93,1.41,28.8,7.4,RSK-020
EV-0069,PASS-005,2026-09-23T09:12:00,10.009890791342745,76.27932907625383,pothole,2.5,0.92,1.75,37.8,2.8,RSK-021
EV-0070,PASS-006,2026-09-23T09:37:48,10.012206372622655,76.27969271085209,speed_breaker,2.8,0.87,1.86,22.4,5.4,RSK-022
EV-0071,PASS-007,2026-09-23T10:03:36,10.014385100852495,76.28010219270129,broken_patch,3.7,0.95,2.21,34.9,3.6,RSK-023
EV-0072,PASS-008,2026-09-23T10:29:24,10.016428068480542,76.28078571506246,road_vibration,4.6,0.86,2.55,47.7,7.9,RSK-024
EV-0073,PASS-009,2026-09-23T10:12:00,9.965972436885817,76.28249965583552,pothole,0.9,0.77,1.14,28.9,9.0,RSK-001
EV-0074,PASS-010,2026-09-23T10:37:48,9.968079464124596,76.28303923961622,speed_breaker,1.7,0.85,1.45,40.7,4.9,RSK-002
EV-0075,PASS-011,2026-09-23T11:03:36,9.970387153251808,76.28363725144735,broken_patch,2.3,0.78,1.67,29.2,4.5,RSK-003
EV-0076,PASS-012,2026-09-23T11:29:24,9.97263807750397,76.28446846753245,road_vibration,3.1,0.83,1.98,27.3,4.2,RSK-004
EV-0077,PASS-013,2026-09-23T11:55:12,9.974743214062336,76.28471801072357,pothole,3.6,0.82,2.17,41.9,5.6,RSK-005
EV-0078,PASS-014,2026-09-23T12:21:00,9.976748621629675,76.28483227171886,speed_breaker,4.4,0.75,2.47,40.6,5.1,RSK-006
