event_id,pass_id,timestamp,latitude,longitude,event_class,severity_0_5,detector_confidence,peak_vertical_g,speed_kmh,gps_accuracy_m,segment_id
SUP-0021,PASS-021,2026-09-23T15:20:24,9.9914,76.28242336002418,harsh_braking,3.0,0.82,1.94,48.2,8.9,RSK-013
SUP-0022,PASS-022,2026-09-23T15:49:30,9.998,76.28028531604377,rapid_acceleration,3.2,0.71,1.42,40.9,9.9,RSK-016
SUP-0023,PASS-023,2026-09-23T16:18:36,10.0046,76.279067409647,sharp_turn,3.2,0.71,2.17,45.9,7.6,RSK-019
SUP-0024,PASS-024,2026-09-23T16:47:42,10.0112,76.27942319651972,lane_change,3.8,0.75,1.83,33.0,5.2,RSK-022
SUP-0025,PASS-025,2026-09-23T16:36:00,9.965,76.282,harsh_braking,4.7,0.82,2.24,50.9,6.8,RSK-001
SUP-0026,PASS-026,2026-09-23T17:05:06,9.9716,76.28404491628007,rapid_acceleration,2.5,0.79,1.25,23.5,6.3,RSK-004
SUP-0027,PASS-027,2026-09-23T17:34:12,9.9782,76.28499248495982,sharp_turn,2.8,0.89,1.66,43.9,3.3,RSK-007
SUP-0028,PASS-028,2026-09-23T18:03:18,9.9848,76.28433421959066,lane_change,1.3,0.77,1.26,44.3,9.9,RSK-010
SUP-0029,PASS-029,2026-09-23T18:32:24,9.9914,76.28242336002418,harsh_braking,4.1,0.7,2.32,33.7,3.4,RSK-013
SUP-0030,PASS-030,2026-09-23T19:01:30,9.998,76.28028531604377,rapid_acceleration,2.9,0.87,1.8,33.0,3.4,RSK-016
SUP-0031,PASS-031,2026-09-23T19:30:36,10.0046,76.279067409647,sharp_turn,2.0,0.74,1.5,47.9,6.9,RSK-019
SUP-0032,PASS-032,2026-09-23T19:59:42,10.0112,76.27942319651972,lane_change,1.1,0.88,2.22,42.1,5.5,RSK-022
SUP-0033,PASS-001,2026-09-23T07:00:00,9.965,76.282,harsh_braking,1.1,0.81,1.41,46.6,3.9,RSK-001
SUP-0034,PASS-002,2026-09-23T07:29:06,9.9716,76.28404491628007,rapid_acceleration,4.5,0.88,1.32,49.7,5.3,RSK-004
SUP-0035,PASS-003,2026-09-23T07:58:12,9.9782,76.28499248495982,sharp_turn,3.6,0.82,1.78,34.1,6.7,RSK-007
SUP-0036,PASS-004,2026-09-23T08:27:18,9.9848,76.28433421959066,lane_change,1.5,0.75,1.94,43.4,4.1,RSK-010
SUP-0037,PASS-005,2026-09-23T08:56:24,9.9914,76.28242336002418,harsh_braking,1.3,0.92,2.3,29.6,9.3,RSK-013
SUP-0038,PASS-006,2026-09-23T09:25:30,9.998,76.28028531604377,rapid_acceleration,2.0,0.7,2.12,46.5,7.6,RSK-016
SUP-0039,PASS-007,2026-09-23T09:54:36,10.0046,76.279067409647,sharp_turn,3.4,0.94,1.73,34.5,5.7,RSK-019
SUP-0040,PASS-008,2026-09-23T10:23:42,10.0112,76.27942319651972,lane_change,3.8,0.81,2.41,47.6,10.8,RSK-022
SUP-0041,PASS-009,2026-09-23T10:12:00,9.965,76.282,harsh_braking,1.9,0.81,2.3,32.0,5.5,RSK-001
SUP-0042,PASS-010,2026-09-23T10:41:06,9.9716,76.28404491628007,rapid_acceleration,2.8,0.96,1.63,51.6,9.3,RSK-004
SUP-0043,PASS-011,2026-09-23T11:10:12,9.9782,76.28499248495982,sharp_turn,3.4,0.74,2.45,22.3,10.7,RSK-007
SUP-0044,PASS-012,2026-09-23T11:39:18,9.9848,76.28433421959066,lane_change,2.2,0.73,2.28,21.4,10.3,RSK-010
SUP-0045,PASS-013,2026-09-23T12:08:24,9.9914,76.28242336002418,harsh_braking,1.1,0.74,2.32,51.0,3.6,RSK-013
SUP-0046,PASS-014,2026-09-23T12:37:30,9.998,76.28028531604377,rapid_acceleration,3.9,0.77,1.97,31.5,3.6,RSK-016
SUP-0047,PASS-015,2026-09-23T13:06:36,10.0046,76.279067409647,sharp_turn,2.2,0.89,1.85,50.4,8.0,RSK-019
SUP-0048,PASS-016,2026-09-23T13:35:42,10.0112,76.27942319651972,lane_change,4.3,0.84,1.86,39.0,4.9,RSK-022
SUP-0049,PASS-017,2026-09-23T13:24:00,9.965,76.282,harsh_braking,3.5,0.78,1.42,21.1,10.8,RSK-001
